"address_line_1__v","latitude__v","longitude__v","postal_code__v","infusion_chairs__v","infusions_performed__v","npi_num__v","hco_name_cda__v"
"200 Ucla Medical Plz Ste 265","34.065089999999998","-118.44620999999999","90095-8344","","","1982667663","UCLA Health Pediatrics In Westwood"
"200 Ucla Medical Plz Ste 265","34.065089999999998","-118.44620999999999","90095-8344","","","","Childrens Health Center"
"81 N Mario Capecchi Dr","40.771135000000001","-111.840154","84113-1125","","","","Eccles Primary Childrens Outpatient Services-Pediatric Comprehensive Care Clinic"
"600 Highland Ave","43.077089999999998","-89.429079999999999","53792-0001","","","","UW Pediatric Neurology"
"9500 Euclid Ave","41.502890000000001","-81.621539999999996","44195-0001","","","","Biomedical Engineering Cleveland Clinic Main Campus"
"6400 Fannin St Ste 2800","29.715119999999999","-95.397319999999993","77030-1534","","","1265096317","Mischer Neuroscience Associates Texas Medical Center"
"535 E 70th St","40.76491","-73.9529","10021-4823","","","1598703019","Hospital For Special Surgery"
"335 Brighton Ave Ste 201","43.666229999999999","-70.291870000000003","04102-2365","","","1194799023","New England Rehabilitation Hospital Of Portland"
"3601 5th Ave Ste 2B","40.441510000000001","-79.959320000000005","15213-3442","","","","UPMC Arthritis And Autoimmunity Center"
"5777 E Mayo Blvd","33.659109999999998","-111.95648","85054-4502","","Yes/True","1154392231","Mayo Clinic Hospital-Phoenix Arizona"
"12634 Olive Blvd","38.675289999999997","-90.467420000000004","63141-6337","","","1447268495","Barnes-Jewish West County Hospital"
"3400 Civic Center Blvd Fl 3","39.948689999999999","-75.192899999999995","19104-5127","","","1801284823","Penn Urology Perelman"
"2460 Curtis Ellis Dr","35.973129999999998","-77.848309999999998","27804-2237","1","Yes/True","1619969219","UNC Nash General Hospital"
"1940 Alcoa Hwy  Building E Ste 310","35.933008000000001","-83.908610999999993","37920","","","1821637489","University Cardiology"
"110 N Hospital Dr","38.842655000000001","-91.964944000000003","65251-2511","","","1114049863","Family Medicine-Callaway Physicians"
"1911 Thurmond Mall","34.007980000000003","-81.048079999999999","29201-2375","","","","Greenwood Genetic Center-Columbia Pediatrics"
